"id","code","account_type","chart_template_id/id","name","note","reconcile"
"non_current_assets","0","asset_non_current","l10n_generic_coa.configurable_chart_template","STALNA SREDSTVA I DUGOROČNI PLASMANI",,
"fixed_assets","022","asset_non_current","l10n_generic_coa.configurable_chart_template","Postrojenja i oprema (mašine)",,
"to_receive_rec","120","asset_current","l10n_generic_coa.configurable_chart_template","Proizvodi u skladištu",,
"stock_valuation","130","asset_current","l10n_generic_coa.configurable_chart_template","Obračun troška nabavke robe",,
"stock_in","1301","asset_current","l10n_generic_coa.configurable_chart_template","Ulaz u magacin",,
"stock_out","1302","asset_current","l10n_generic_coa.configurable_chart_template","Izlaz iz magacina",,
"prepayments","151","asset_prepayments","l10n_generic_coa.configurable_chart_template","Dati avansi za zalihe i usluge ostalim pravnim licima",,
"current_assets","20","asset_current","l10n_generic_coa.configurable_chart_template","Gotovina i gotovinski ekvivalenti",,
"pos_receivable","205","asset_current","l10n_generic_coa.configurable_chart_template","Blagajne, domaća valuta",,
"receivable","211","asset_receivable","l10n_generic_coa.configurable_chart_template","Kupci u zemlji",,"True"
"tax_paid","270","asset_current","l10n_generic_coa.configurable_chart_template","PDV u primljenim fakturama",,
"tax_receivable","2701","asset_current","l10n_generic_coa.configurable_chart_template","PDV u primljenim fakturama",,
"capital","30","equity","l10n_generic_coa.configurable_chart_template","Osnovni kapital",,
"dividends","300","equity","l10n_generic_coa.configurable_chart_template","Dionički kapital",,
"non_current_liabilities","40","liability_non_current","l10n_generic_coa.configurable_chart_template","Dugoročna rezervisanja i odložene porezne obaveze",,
"current_liabilities","42","liability_current","l10n_generic_coa.configurable_chart_template","Kratkoročne finansijske obaveze",,
"payable","43","liability_current","l10n_generic_coa.configurable_chart_template","Obaveze iz poslovanja",,
"to_receive_pay","432","liability_payable","l10n_generic_coa.configurable_chart_template","Dobavljači u zemlji",,"True"
"tax_payable","470","liability_current","l10n_generic_coa.configurable_chart_template","PDV po osnovu isporuka drugim obveznicima PDV-a",,
"tax_received","4700","liability_current","l10n_generic_coa.configurable_chart_template","PDV po osnovu isporuka drugim obveznicima PDV-a",,
"income","6","income","l10n_generic_coa.configurable_chart_template","PRIHODI",,
"income_currency_exchange","662","income","l10n_generic_coa.configurable_chart_template","Pozitivne kursne razlike",,
"cash_diff_income","6620","income","l10n_generic_coa.configurable_chart_template","Pozitivne kursne razlike",,
"cash_discount_gain","6621","income","l10n_generic_coa.configurable_chart_template","Prihod od rabata dobavljača",,
"other_income","67","income","l10n_generic_coa.configurable_chart_template","Ostali prihodi i dobici",,
